"dates","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"2014-02-11",27.275,27.805,27.045,27.775,5245400,27.775
"2014-02-12",27.844999,28.045,27.59,27.93,4557600,27.93
"2014-02-13",27.790001,28.155001,27.68,28.045,4076000,28.045
"2014-02-14",27.940001,28.165001,27.905001,28.059999,2362200,28.059999
"2014-02-18",28.030001,28.559999,28.014999,28.504999,2805000,28.504999
"2014-02-19",28.459999,28.665001,28.325001,28.485001,2131800,28.485001
"2014-02-20",28.52,28.684999,28.375,28.59,1816000,28.59
"2014-02-21",28.690001,28.93,28.514999,28.684999,2378400,28.684999
"2014-02-24",28.475,29.040001,28.375,28.780001,2584000,28.780001
"2014-02-25",28.709999,28.9,28.615,28.75,1703000,28.75
"2014-02-26",28.865,29.01,28.735001,28.82,1534200,28.82
"2014-02-27",28.83,29.17,28.745001,28.995001,1772000,28.995001
"2014-02-28",29.035,29.165001,28.805,29.025,2245200,29.025
"2014-03-03",28.844999,28.945,28.635,28.815001,1637000,28.815001
"2014-03-04",29.125,29.645,29.125,29.59,2014000,29.59
"2014-03-05",29.49,29.58,29.120001,29.139999,2346600,29.139999
"2014-03-06",29.120001,29.415001,29.094999,29.33,1769200,29.33
"2014-03-07",29.49,29.559999,29.275,29.389999,1796600,29.389999
"2014-03-10",29.365,29.469999,29.225,29.325001,1416200,29.325001
"2014-03-11",29.389999,29.465,29.23,29.315001,1003800,29.315001
"2014-03-12",29.120001,29.355,29.01,29.309999,1173800,29.309999
"2014-03-13",29.385,29.459999,28.605,28.73,2270200,28.73
"2014-03-14",28.719999,28.99,28.610001,28.620001,1933200,28.620001
"2014-03-17",28.75,29.215,28.75,29.084999,2179000,29.084999
"2014-03-18",29.030001,29.370001,28.945,29.215,1774200,29.215
"2014-03-19",29.139999,29.360001,28.865,29.055,1750200,29.055
"2014-03-20",28.940001,29.225,28.885,29.219999,1233200,29.219999
"2014-03-21",29.58,29.58,28.75,28.875,4153000,28.875
"2014-03-24",29.004999,29.059999,28.174999,28.290001,2388000,28.290001
"2014-03-25",27.879999,28.5,27.879999,28.16,2105000,28.16
"2014-03-26",28.215,28.315001,27.84,27.844999,1572600,27.844999
"2014-03-27",27.934999,28.084999,27.684999,27.705,3512800,27.705
"2014-03-28",27.860001,28.18,27.75,27.945,2224000,27.945
"2014-03-31",28.040001,28.690001,28.040001,28.344999,3975200,28.344999
"2014-04-01",28.525,28.665001,28.309999,28.645,1931400,28.645
"2014-04-02",28.665001,28.9,28.575001,28.84,2854600,28.84
"2014-04-03",28.91,28.985001,28.855,28.879999,2884000,28.879999
"2014-04-04",29.035,29.15,28.610001,28.65,4010400,28.65
"2014-04-07",28.495001,28.665001,28.025,28.215,5197200,28.215
"2014-04-08",28.245001,28.514999,28.174999,28.379999,2345200,28.379999
"2014-04-09",28.375,28.559999,28.225,28.52,1918400,28.52
"2014-04-10",28.469999,28.59,27.9,27.9,2151200,27.9
"2014-04-11",27.655001,27.955,27.459999,27.525,2497600,27.525
"2014-04-14",27.695,27.895,27.455,27.764999,1904600,27.764999
"2014-04-15",27.85,28.165001,27.665001,28.105,1828400,28.105
"2014-04-16",28.370001,28.620001,28.219999,28.559999,2064600,28.559999
"2014-04-17",28.49,28.965,28.334999,28.790001,2325800,28.790001
"2014-04-21",28.834999,28.870001,28.5,28.59,1617400,28.59
"2014-04-22",28.5,28.705,28.4,28.540001,1741600,28.540001
"2014-04-23",28.475,28.59,28.264999,28.305,2401800,28.305
"2014-04-24",28.549999,28.645,28.254999,28.334999,2462400,28.334999
"2014-04-25",28.309999,28.344999,27.934999,27.945,2644200,27.945
"2014-04-28",28.025,28.545,27.905001,28.395,7059200,28.395
"2014-04-29",28.584999,28.815001,28.48,28.75,3398600,28.75
"2014-04-30",29.040001,30.405001,28.5,30.389999,7954600,30.389999
"2014-05-01",30.395,30.525,30.08,30.455,4242000,30.455
"2014-05-02",30.645,30.870001,30.42,30.790001,3086000,30.790001
"2014-05-05",30.584999,30.875,30.35,30.870001,2370600,30.870001
"2014-05-06",30.85,30.870001,30.605,30.764999,1914200,30.764999
"2014-05-07",30.754999,30.885,30.485001,30.844999,2586600,30.844999
"2014-05-08",30.754999,31.135,30.605,30.764999,2176200,30.764999
"2014-05-09",30.754999,30.855,30.41,30.5,3420000,30.5
"2014-05-12",30.540001,30.870001,30.5,30.799999,3412600,30.799999
"2014-05-13",30.834999,30.834999,30.625,30.635,1830000,30.635
"2014-05-14",30.6,30.665001,30.190001,30.245001,1812200,30.245001
"2014-05-15",30.4,30.4,29.725,29.844999,2002200,29.844999
"2014-05-16",29.92,29.92,29.465,29.74,7829600,29.74
"2014-05-19",29.690001,30.025,29.67,29.940001,1300600,29.940001
"2014-05-20",29.940001,30,29.594999,29.615,1651600,29.615
"2014-05-21",29.68,29.790001,29.6,29.65,1503800,29.65
"2014-05-22",29.6,29.74,29.379999,29.645,1845600,29.645
