"dates","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"2010-09-16",14.169125,14.198623,13.618486,13.854474,7248871,13.121024
"2010-09-17",13.933137,14.090462,13.706981,13.756146,6216514,13.027902
"2010-09-20",14.53294,15.044248,14.25762,14.886922,12984242,14.098813
"2010-09-21",15.142576,15.240905,14.788594,14.955752,7329519,14.164
"2010-09-22",14.827925,15.054081,14.523107,14.572271,5620756,13.800819
"2010-09-23",14.39528,14.80826,14.365782,14.444444,4762611,13.679758
"2010-09-24",14.729597,15.122911,14.6706,14.975418,2994658,14.182623
"2010-09-27",14.995084,15.221239,14.827925,15.142576,3333726,14.340931
"2010-09-28",15.240905,15.378564,14.896755,15.349066,3645640,14.536489
"2010-09-29",15.132743,15.270403,14.916421,14.985251,3049475,14.191936
"2010-09-30",15.113078,15.290069,14.926254,15.122911,2948486,14.322308
"2010-10-01",15.39823,15.614553,15.26057,15.408063,5177242,14.592365
"2010-10-04",15.427729,15.437561,15.014749,15.103245,2778139,14.303683
"2010-10-05",15.221239,15.339233,15.024582,15.211406,3047441,14.406118
"2010-10-06",15.240905,15.506391,15.103245,15.152409,3108562,14.350245
"2010-10-07",15.290069,15.319567,14.926254,15.113078,2784953,14.312996
"2010-10-08",15.122911,15.909538,15.073746,15.850541,7417693,15.011418
"2010-10-11",15.830875,16.33235,15.752212,16.017698,6700606,15.169724
"2010-10-12",15.909538,15.929204,15.53589,15.634218,4715727,14.842992
"2010-10-13",15.909538,15.988201,15.555556,15.585054,4527176,14.796318
"2010-10-14",15.555556,16.204523,15.417896,15.732547,9408369,14.936346
"2010-10-15",15.889872,15.889872,14.995084,15.063913,7023402,14.301553
"2010-10-18",15.093412,15.172075,14.572271,14.886922,6426525,14.133515
"2010-10-19",14.749263,15.162242,14.385447,14.53294,6441068,13.797449
"2010-10-20",14.542773,14.621436,13.87414,14.149459,6421745,13.433373
"2010-10-21",14.287119,14.680433,14.25762,14.493609,5084593,13.760111
"2010-10-22",14.483776,14.729597,14.483776,14.572271,3625198,13.834791
"2010-10-25",14.768928,14.936087,14.552606,14.650934,4567042,13.90947
"2010-10-26",14.562439,14.749263,14.473943,14.650934,3174871,13.90947
"2010-10-27",14.562439,14.73943,14.267453,14.434612,4090069,13.704102
"2010-10-28",14.572271,14.631268,14.198623,14.346116,2744273,13.620081
"2010-10-29",14.32645,14.444444,14.188791,14.267453,2383950,13.545399
"2010-11-01",14.365782,14.572271,14.169125,14.316618,3408781,13.592075
"2010-11-02",14.424779,15.476893,14.336283,15.368732,11797709,14.590945
"2010-11-03",15.417896,15.417896,14.778761,15.19174,6058778,14.422907
"2010-11-04",14.867257,15.732547,14.847591,15.545723,12457843,14.758977
"2010-11-05",15.506391,15.683382,15.368732,15.585054,14647343,14.796318
"2010-11-08",15.565388,16.027533,15.526057,15.860374,6790001,15.057704
"2010-11-09",15.988201,16.22419,15.614553,15.67355,6345266,14.880332
"2010-11-10",15.703048,16.086529,15.644051,16.066862,5097204,15.253741
"2010-11-11",15.899705,16.263519,15.811209,16.165192,3416408,15.347097
"2010-11-12",16.007866,16.165192,15.585054,15.781711,4091594,14.983022
"2010-11-15",15.889872,15.909538,15.476893,15.624385,4375744,14.833657
"2010-11-16",15.457227,15.712881,15.280236,15.496559,5546108,14.7123
"2010-11-17",15.46706,15.594887,15.063913,15.240905,4543753,14.469586
"2010-11-18",15.437561,15.624385,15.319567,15.368732,2634945,14.590945
"2010-11-19",15.388397,15.388397,15.054081,15.309735,2940757,14.534928
"2010-11-22",15.19174,15.309735,14.818092,14.975418,3784155,14.217535
"2010-11-23",14.798427,14.906588,14.562439,14.611603,3856667,13.872131
"2010-11-24",14.73943,15.19174,14.719764,15.024582,2600672,14.264211
"2010-11-26",14.945919,14.955752,14.749263,14.798427,739359,14.049502
"2010-11-29",14.73943,15.113078,14.650934,14.73943,4107053,13.993489
"2010-11-30",14.552606,15.122911,14.552606,14.936087,3483327,14.180196
"2010-12-01",15.231072,15.683382,15.152409,15.486726,6524360,14.702966
"2010-12-02",15.53589,16.961653,15.53589,16.597837,13312428,15.757843
"2010-12-03",16.588003,17.010817,16.293018,16.971485,5932263,16.112579
"2010-12-06",16.892822,17.148476,16.764996,17.118977,3287453,16.252609
"2010-12-07",17.384464,17.600786,17.197639,17.227139,5665707,16.355299
"2010-12-08",17.236971,17.571287,16.843658,17.256638,5194429,16.383307
"2010-12-09",17.44346,17.453295,17.010817,17.246803,4879363,16.37396
