"dates","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2010-07-21",72.57,72.769997,71.110001,71.279999,409800,56.865177
"2010-07-22",72.120003,73.440002,72.110001,73.419998,358600,58.572411
"2010-07-23",73.220001,74.040001,72.980003,73.900002,278700,58.95533
"2010-07-26",74.099998,74.989998,73.949997,74.82,318000,59.689274
"2010-07-27",74.739998,75.419998,74.139999,74.239998,317400,59.226593
"2010-07-28",73.650002,74.540001,72.660004,72.800003,437400,58.077797
"2010-07-29",74.120003,77.459999,74.120003,76.900002,856300,61.348663
"2010-07-30",76.32,77.830002,75.900002,77.620003,543600,61.923069
"2010-08-02",78.720001,79.110001,77.93,78.419998,407900,62.561279
"2010-08-03",77.989998,78.160004,77.400002,77.57,337700,61.883167
"2010-08-04",78,78.690002,77.790001,78.199997,251000,62.385773
"2010-08-05",78.139999,78.870003,78.010002,78.5,306300,62.625095
"2010-08-06",78,79.650002,77.379997,79.589996,599300,63.494682
"2010-08-09",79.699997,80.400002,79.610001,80.260002,351500,64.029175
"2010-08-10",79.879997,80.32,79.32,79.959999,552000,63.789852
"2010-08-11",79.120003,79.309998,78.120003,78.480003,751100,62.60915
"2010-08-12",77.5,79.139999,77.5,78.940002,303800,62.976105
"2010-08-13",78.940002,79.489998,78.540001,79.110001,272000,63.111736
"2010-08-16",78.650002,79.440002,78.419998,79.309998,261300,63.271294
"2010-08-17",79.849998,80.970001,79.849998,80.57,363600,64.276482
"2010-08-18",80.440002,81.160004,79.75,80.699997,274700,64.380188
"2010-08-19",80.050003,80.660004,79.629997,79.769997,387400,63.638271
"2010-08-20",79.230003,80.720001,79.010002,80.589996,390600,64.292412
"2010-08-23",80.82,81.650002,80.150002,80.150002,343700,63.94141
"2010-08-24",79.540001,81.019997,78.980003,80.300003,452600,64.061081
"2010-08-25",79.989998,81.040001,79.830002,80.940002,390800,64.571648
"2010-08-26",81.32,81.32,78.730003,78.949997,657000,62.984089
"2010-08-27",79.510002,81,78.360001,81,315500,64.619537
"2010-08-30",80.43,80.68,79.860001,79.879997,295900,64.105904
"2010-08-31",79.440002,79.629997,78.68,79.139999,546800,63.512028
"2010-09-01",80.199997,81.169998,79.82,80.5,459800,64.603477
"2010-09-02",80.739998,81,80.230003,80.5,388200,64.603477
"2010-09-03",80.849998,82.690002,80.580002,82.580002,432600,66.27272
"2010-09-07",82.129997,82.339996,80.779999,80.839996,336300,64.876343
"2010-09-08",81.449997,82.389999,81.290001,82.129997,409600,65.911568
"2010-09-09",82.910004,82.989998,82.160004,82.510002,212800,66.21656
