"dates","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2013-04-01",93.547462,94.065201,93.288589,93.892616,1625203,72.888084
"2013-04-02",94.237778,95.771812,93.777565,95.675934,2701892,74.272461
"2013-04-03",95.762222,95.877274,93.528282,93.854263,2885251,72.858315
"2013-04-04",94.103546,94.544586,93.815918,94.410355,1896278,73.289993
"2013-04-05",93.585808,95.599236,93.336533,95.215721,2981728,73.915207
"2013-04-08",95.033554,95.349953,94.180252,95.349953,1484919,74.019394
"2013-04-09",95.30201,95.455414,94.67881,95.215721,1617902,73.915207
"2013-04-10",95.512939,96.308723,95.340363,96.164909,1800635,74.652061
"2013-04-11",96.222435,97.037392,95.944389,96.951103,2325994,75.262367
"2013-04-12",96.711411,97.488014,96.490891,97.056564,1443616,75.344238
"2013-04-15",96.740173,97.641418,96.059441,96.078621,1854454,74.585068
"2013-04-16",96.653885,97.823586,96.299133,97.392136,1813881,75.604729
"2013-04-17",97.104507,97.488014,96.193672,96.510071,1929863,74.919983
"2013-04-18",96.490891,98.255035,96.490891,97.181206,2730783,75.440994
"2013-04-19",100.671143,102.147652,99.597313,101.725792,4746797,78.96891
"2013-04-22",100.891663,101.361458,100.297218,101.236816,3652899,78.589333
"2013-04-23",101.438156,101.860016,99.961647,101.140938,4658142,78.514893
"2013-04-24",100.824547,101.054649,99.050812,99.137108,3560280,76.959335
"2013-04-25",99.837006,99.837006,99.060402,99.194633,2146911,77.003998
"2013-04-26",99.280922,99.79866,98.734421,98.868645,2417674,76.750946
"2013-04-29",98.820709,99.338448,98.561844,99.050812,2336737,76.892349
"2013-04-30",98.744011,99.060402,98.312561,98.93576,1825459,76.803032
"2013-05-01",98.993286,100.239693,98.71524,99.031639,2721917,76.877464
"2013-05-02",99.194633,100.671143,99.012466,100.239693,2477438,77.815269
"2013-05-03",100.719078,101.323105,99.79866,101.035477,2527189,78.433022
"2013-05-06",100.776604,101.035477,99.645256,100.162994,1851221,77.755745
"2013-05-07",100.287636,100.594437,99.865768,100.20134,1702802,77.785515
"2013-05-08",100.124641,100.306808,99.453499,99.971237,1649817,77.606873
"2013-05-09",99.932884,100.105469,98.40844,98.724831,2636287,76.639267
"2013-05-10",98.696068,99.185043,98.312561,99.165871,2034267,76.981659
"2013-05-13",99.194633,99.712364,98.724831,99.434326,1336605,77.190071
"2013-05-14",99.654839,100.738258,99.58773,100.728668,1500981,78.194847
"2013-05-15",100.325981,100.441032,99.856186,100.306808,2646404,77.867386
"2013-05-16",99.980827,100.047935,99.242569,99.472672,2307846,77.219833
"2013-05-17",99.56855,100.086288,99.022049,100.047935,2687185,77.66642
"2013-05-20",99.837006,99.875359,98.418022,98.628952,1824311,76.564873
"2013-05-21",98.763184,98.763184,97.305847,97.708534,3107097,75.850357
"2013-05-22",97.55513,98.782356,97.392136,97.938637,2501740,76.028992
"2013-05-23",97.13327,98.993286,96.92234,98.312561,7053809,76.319267
"2013-05-24",98.283798,99.261742,97.813995,99.242569,6697937,77.041222
"2013-05-28",99.961647,100.306808,99.57814,100.22052,7275864,77.8004
"2013-05-29",99.539787,99.597313,95.33078,95.388306,4942881,74.049179
"2013-05-30",95.647171,96.797699,95.52253,96.1745,2169649,74.6595
"2013-05-31",95.877274,96.030678,92.828377,92.837967,4217058,72.069382
"2013-06-03",93.000961,93.116013,91.572388,92.713326,4536946,71.97261
"2013-06-04",92.627037,94.046021,92.511986,93.557045,3125245,72.627586
"2013-06-05",92.694153,92.694153,91.735382,91.764145,2016119,71.832047
"2013-06-06",91.476509,92.377754,90.671143,92.377754,3295671,72.312386
"2013-06-07",93.173538,93.959732,92.579102,93.116013,2097995,72.890274
"2013-06-10",93.08725,93.585808,92.214767,93.547462,2160262,73.227982
"2013-06-11",92.981781,94.448708,92.579102,93.911797,2007775,73.513206
"2013-06-12",94.69799,94.870567,92.799614,92.818794,2378874,72.657616
"2013-06-13",92.933846,94.007668,92.588684,93.547462,2601451,73.227982
"2013-06-14",93.547462,94.67881,93.451584,93.8255,2349358,73.445671
"2013-06-17",94.25695,95.484177,94.24736,95.436241,2020604,74.706535
"2013-06-18",95.570473,95.570473,94.793861,95.340363,1730650,74.631477
"2013-06-19",94.90892,95.30201,92.483223,92.521568,2431024,72.424934
"2013-06-20",91.927132,91.927132,89.942474,90.757431,5664533,71.044014
"2013-06-21",91.783318,92.44487,90.920425,91.831253,3933570,71.884567
"2013-06-24",90.738258,92.090126,89.894531,91.169701,2470033,71.366714
"2013-06-25",91.754555,92.099709,90.517738,91.658676,1988062,71.749489
"2013-06-26",92.43528,93.288589,92.301056,92.991371,2228787,72.792702
"2013-06-27",93.461166,94.141899,93.144775,93.30777,1758289,73.040375
"2013-06-28",93.000961,93.5187,92.45446,93.135185,2593211,72.905258
"2013-07-01",92.885902,94.007668,92.885902,93.163948,1545726,72.927795
"2013-07-02",93.365295,93.873444,92.6558,93.039307,1306983,72.830254
"2013-07-03",92.847557,93.394058,92.070946,93.029724,980837,72.822708
"2013-07-05",93.413231,93.557045,92.128479,93.374878,969260,73.092911
"2013-07-08",93.892616,94.525406,93.5187,94.026848,1611435,73.603256
"2013-07-09",94.621284,94.995209,94.266541,94.46788,1186517,73.948494
"2013-07-10",94.650047,94.88974,93.959732,94.525406,1928298,73.993538
"2013-07-11",95.378716,95.733459,94.841805,95.54171,1807206,74.789085
"2013-07-12",95.32119,95.810165,95.158195,95.762222,1198198,74.961708
"2013-07-15",95.771812,96.078621,94.985619,95.992332,1445389,75.141838
"2013-07-16",95.771812,96.136147,95.417068,96.059441,2252150,75.194366
"2013-07-17",96.519653,96.653885,95.417068,95.53212,1464059,74.781555
"2013-07-18",95.637581,95.896454,94.717163,94.832214,2338928,74.233704
"2013-07-19",94.860977,95.388306,94.113136,95.388306,3047229,74.668999
"2013-07-22",93.441994,94.832214,92.176414,93.652924,3378590,73.310547
"2013-07-23",93.652924,94.304893,92.598274,94.151489,2453032,73.700836
"2013-07-24",94.132309,94.24736,93.643333,93.815918,1675684,73.438148
"2013-07-25",93.787155,94.717163,93.604988,94.410355,1248158,73.903458
"2013-07-26",94.285713,94.525406,93.422821,94.333656,1386043,73.843452
"2013-07-29",94.141899,94.621284,93.873444,94.093964,975309,73.6558
"2013-07-30",94.47747,94.89933,93.672096,93.921379,1154288,73.520706
"2013-07-31",93.873444,95.177376,93.873444,94.726753,2022898,74.151169
"2013-08-01",95.340363,95.867691,94.199425,94.717163,1898051,74.143608
"2013-08-02",94.602112,95.53212,94.113136,95.503357,1886996,74.759079
"2013-08-05",95.177376,95.580055,94.937683,95.225311,1282577,74.541412
"2013-08-06",95.167786,95.800575,95.043144,95.627998,1254625,74.856636
"2013-08-07",95.234901,95.445831,94.554169,94.88015,1196425,74.271225
"2013-08-08",95.052734,95.071907,93.796738,94.506233,1422131,73.978531
"2013-08-09",94.362419,94.841805,93.969322,94.46788,1246072,73.948494
"2013-08-12",94.046021,94.352829,93.432404,94.24736,1079818,73.775902
"2013-08-13",94.333656,94.88974,93.767975,94.093964,1128630,73.6558
"2013-08-14",93.902206,94.189835,92.617447,92.790031,1827127,72.635101
"2013-08-15",92.531158,92.713326,91.792908,91.850433,1588489,71.899612
"2013-08-16",91.620323,91.668266,90.968361,91.025887,2224615,71.254143
