"dates","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2010-06-01",29.834999,30.290001,29.105,29.15,1986800,22.094378
"2010-06-02",29.790001,30.325001,29.264999,30.325001,2690600,22.98498
"2010-06-03",30.469999,30.530001,29.705,30.15,1524800,22.852337
"2010-06-04",29.475,29.665001,28.48,28.59,2074800,21.66993
"2010-06-07",28.665001,29.075001,28.35,28.405001,2179600,21.529707
"2010-06-08",28.415001,29.08,28.34,29.040001,3042800,22.011013
"2010-06-09",29.254999,29.950001,28.91,29.065001,2392600,22.029953
"2010-06-10",29.33,29.91,29.33,29.809999,1909600,22.766958
"2010-06-11",29.469999,30.4,29.450001,30.355,2019800,23.183201
"2010-06-14",30.73,31.040001,30.115,30.195,1702800,23.061001
"2010-06-15",30.450001,31.004999,30.305,30.98,2434800,23.660536
"2010-06-16",30.844999,31.344999,30.6,31.030001,1505200,23.698719
"2010-06-17",31.275,31.275,30.355,30.725,1808000,23.465778
"2010-06-18",31.105,31.620001,30.875,31.334999,2148600,23.931658
"2010-06-21",31.75,31.940001,30.959999,31.18,2197000,23.813288
"2010-06-22",31.18,31.455,30.42,30.455,1404200,23.259575
"2010-06-23",30.4,30.41,29.610001,29.995001,3725200,22.908257
"2010-06-24",29.860001,29.895,28.985001,29.040001,2101000,22.178888
"2010-06-25",29.084999,29.325001,28.715,28.99,2896000,22.140703
"2010-06-28",29.035,29.135,28.48,28.530001,2554400,21.789381
"2010-06-29",28,28.115,27.34,27.485001,4184800,20.991278
"2010-06-30",27.35,27.795,26.625,26.68,3518200,20.376469
"2010-07-01",26.9,26.9,25.885,26.525,2816200,20.258095
"2010-07-02",26.584999,26.700001,25.75,26.030001,2337200,19.880045
"2010-07-06",26.59,26.700001,25.549999,25.815001,2203400,19.715839
"2010-07-07",25.965,27.139999,25.955,27.084999,2099000,20.68578
"2010-07-08",27.375,28.174999,27.18,28.120001,3643200,21.476252
"2010-07-09",28.09,28.48,27.985001,28.16,1613600,21.506798
"2010-07-12",28.059999,28.195,27.605,27.73,1509200,21.178394
"2010-07-13",28.059999,28.705,28.02,28.5,2078600,21.766466
"2010-07-14",28.344999,28.395,27.865,28.17,1964000,21.514437
"2010-07-15",28.110001,28.165001,27.52,28.014999,1611600,21.396055
"2010-07-16",27.834999,27.855,27.065001,27.105,1765400,20.701056
"2010-07-19",27.139999,27.254999,26.52,26.75,2602200,20.429934
"2010-07-20",26.370001,27.02,26.219999,26.995001,4124400,20.617048
"2010-07-21",27.26,28.014999,27.26,27.84,5309200,21.262407
"2010-07-22",28.285,28.995001,28.165001,28.77,3006800,21.972677
"2010-07-23",28.715,29.549999,28.620001,29.485001,2904200,22.518753
"2010-07-26",29.540001,29.98,29.235001,29.93,3301000,22.858612
"2010-07-27",30.305,30.32,29.495001,29.799999,2585200,22.759327
"2010-07-28",29.780001,30.02,29.594999,29.809999,1801400,22.766958
"2010-07-29",29.955,30.395,29.334999,29.879999,2696800,22.820423
