"dates","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume","CNC.Adjusted"
"2010-07-21",5.3025,5.355,5.06,5.06,1309200,5.06
"2010-07-22",5.1175,5.1925,5.07,5.1725,1159600,5.1725
"2010-07-23",5.175,5.34,5.11,5.3025,1203600,5.3025
"2010-07-26",5.3275,5.4425,5.31,5.43,1186000,5.43
"2010-07-27",5.4375,5.695,5.4375,5.54,2840400,5.54
"2010-07-28",5.54,5.54,5.1125,5.14,2516800,5.14
"2010-07-29",5.1825,5.21,5,5.0975,1357600,5.0975
"2010-07-30",5.045,5.3625,5.03,5.3275,2320800,5.3275
"2010-08-02",5.4025,5.525,5.4,5.4225,2738800,5.4225
"2010-08-03",5.3975,5.5775,5.335,5.535,1670800,5.535
"2010-08-04",5.545,5.83,5.545,5.6625,2499200,5.6625
"2010-08-05",5.625,5.68,5.465,5.4875,1284400,5.4875
"2010-08-06",5.4425,5.515,5.3975,5.475,1194400,5.475
"2010-08-09",5.5125,5.565,5.47,5.475,1197600,5.475
"2010-08-10",5.6575,5.6575,5.3675,5.4925,1428400,5.4925
"2010-08-11",5.4125,5.4375,5.27,5.2975,2276000,5.2975
"2010-08-12",5.2475,5.29,5.18,5.2325,1758800,5.2325
"2010-08-13",5.205,5.3075,5.1275,5.2575,1470000,5.2575
"2010-08-16",5.2575,5.305,5.19,5.2825,1627200,5.2825
"2010-08-17",5.3225,5.3475,5.22,5.245,2158800,5.245
"2010-08-18",5.25,5.3025,5.145,5.2925,1160400,5.2925
"2010-08-19",5.265,5.3,5.085,5.1275,1771200,5.1275
"2010-08-20",5.0925,5.115,5.0325,5.075,1234000,5.075
"2010-08-23",5.0875,5.26,5.05,5.18,1824400,5.18
"2010-08-24",5.1275,5.185,5.035,5.0825,983200,5.0825
"2010-08-25",5.05,5.185,5.04,5.165,1185200,5.165
"2010-08-26",5.19,5.465,5.165,5.3775,3191200,5.3775
"2010-08-27",5.3975,5.495,5.27,5.4625,1477600,5.4625
"2010-08-30",5.4575,5.4575,5.2075,5.21,1612800,5.21
"2010-08-31",5.19,5.1975,5.0025,5.055,2217600,5.055
"2010-09-01",5.125,5.27,5.09,5.1525,1755600,5.1525
"2010-09-02",5.1525,5.18,5.0775,5.1425,1268800,5.1425
"2010-09-03",5.195,5.37,5.1925,5.365,1576400,5.365
"2010-09-07",5.245,5.295,5.1525,5.245,1700800,5.245
"2010-09-08",5.26,5.325,5.2325,5.2825,1185600,5.2825
"2010-09-09",5.325,5.4075,5.2775,5.3325,1113200,5.3325
"2010-09-10",5.3875,5.5,5.265,5.42,2080800,5.42
"2010-09-13",5.4725,5.57,5.46,5.5325,1957200,5.5325
"2010-09-14",5.5325,5.535,5.38,5.5,1399600,5.5
"2010-09-15",5.5025,5.5875,5.47,5.5525,1080400,5.5525
"2010-09-16",5.535,5.54,5.455,5.4875,1471600,5.4875
"2010-09-17",5.54,5.54,5.365,5.4725,2244400,5.4725
"2010-09-20",5.4675,5.585,5.455,5.5775,2175200,5.5775
"2010-09-21",5.565,5.62,5.4775,5.545,1319600,5.545
"2010-09-22",5.535,5.6,5.4375,5.5175,1144000,5.5175
"2010-09-23",5.4775,5.5175,5.3125,5.325,1620800,5.325
"2010-09-24",5.3825,5.5075,5.335,5.4975,1325600,5.4975
"2010-09-27",5.515,5.5575,5.4275,5.5275,1168400,5.5275
"2010-09-28",5.5475,5.7475,5.4775,5.7325,2240000,5.7325
"2010-09-29",5.705,5.8225,5.6225,5.775,2496800,5.775
"2010-09-30",5.8175,5.9125,5.7925,5.8975,2372000,5.8975
"2010-10-01",5.9475,5.9725,5.76,5.8425,1737200,5.8425
"2010-10-04",5.82,5.8375,5.675,5.7075,1448800,5.7075
"2010-10-05",5.7625,5.8525,5.6975,5.8525,1305200,5.8525
"2010-10-06",5.835,5.8625,5.7125,5.79,1383600,5.79
"2010-10-07",5.8325,5.8775,5.7475,5.77,886400,5.77
"2010-10-08",5.7875,5.9,5.7375,5.875,926000,5.875
"2010-10-11",5.875,6.015,5.865,5.93,676000,5.93
"2010-10-12",5.935,6.0325,5.845,6.01,961200,6.01
"2010-10-13",6.0225,6.075,5.9525,6.0425,928400,6.0425
"2010-10-14",6.0375,6.135,5.9975,6.05,8e+05,6.05
"2010-10-15",6.1,6.1925,6.0275,6.125,1650800,6.125
"2010-10-18",6.135,6.19,6.095,6.18,717600,6.18
"2010-10-19",6.105,6.135,5.975,5.9975,1884400,5.9975
"2010-10-20",6.03,6.0875,6.02,6.075,1139600,6.075
"2010-10-21",6.09,6.12,5.88,5.9725,980400,5.9725
"2010-10-22",6,6.085,5.96,6.0725,7e+05,6.0725
"2010-10-25",6.105,6.22,6.075,6.11,851200,6.11
"2010-10-26",5.9225,5.9225,5.59,5.7025,5425600,5.7025
"2010-10-27",5.6925,5.745,5.65,5.7075,1596000,5.7075
"2010-10-28",5.665,5.7025,5.6,5.625,2532000,5.625
"2010-10-29",5.62,5.635,5.56,5.58,2346000,5.58
"2010-11-01",5.6075,5.6775,5.5175,5.5775,1440800,5.5775
"2010-11-02",5.6325,5.7175,5.6225,5.715,869600,5.715
"2010-11-03",5.71,5.7525,5.515,5.5925,2422000,5.5925
"2010-11-04",5.65,5.7325,5.65,5.7075,1891600,5.7075
"2010-11-05",5.7275,5.735,5.6025,5.6575,1229600,5.6575
"2010-11-08",5.6525,5.7,5.57,5.6625,1294400,5.6625
"2010-11-09",5.6775,5.69,5.5375,5.5525,1126800,5.5525
"2010-11-10",5.5475,5.59,5.2975,5.4575,3331200,5.4575
"2010-11-11",5.4025,5.535,5.35,5.52,3103200,5.52
"2010-11-12",5.4725,5.575,5.4575,5.5125,1718800,5.5125
"2010-11-15",5.5275,5.5275,5.41,5.51,2152800,5.51
"2010-11-16",5.53,5.595,5.4575,5.485,3051200,5.485
"2010-11-17",5.5075,5.6825,5.48,5.65,1789200,5.65
"2010-11-18",5.685,5.7925,5.615,5.685,1254800,5.685
"2010-11-19",5.6525,5.7475,5.6125,5.655,2310000,5.655
"2010-11-22",5.6575,5.82,5.625,5.7925,1750800,5.7925
"2010-11-23",5.765,5.8125,5.735,5.75,814800,5.75
"2010-11-24",5.795,5.8875,5.7525,5.8675,1101200,5.8675
"2010-11-26",5.8125,5.8475,5.7775,5.7825,266000,5.7825
"2010-11-29",5.75,5.9,5.6975,5.85,1079600,5.85
"2010-11-30",5.775,5.865,5.74,5.8125,1247600,5.8125
"2010-12-01",5.8925,5.98,5.8325,5.8925,1190400,5.8925
"2010-12-02",5.885,5.96,5.8425,5.955,845200,5.955
"2010-12-03",5.92,6.0125,5.8775,5.9925,1200000,5.9925
"2010-12-06",5.9675,6.06,5.9425,5.9925,936000,5.9925
"2010-12-07",6.045,6.0675,5.9275,5.965,1615200,5.965
"2010-12-08",5.965,6.205,5.9575,6.1725,1402800,6.1725
"2010-12-09",6.2,6.245,5.9725,5.9925,1870000,5.9925
"2010-12-10",5.9975,6.12,5.99,6.06,1639600,6.06
"2010-12-13",6.0775,6.095,5.965,5.97,727200,5.97
"2010-12-14",5.97,6.09,5.97,6.0825,863600,6.0825
"2010-12-15",6.1,6.2125,6.075,6.145,1062000,6.145
"2010-12-16",6.145,6.31,6.125,6.2725,1436000,6.2725
"2010-12-17",6.3125,6.4775,6.2775,6.35,2702000,6.35
"2010-12-20",6.3775,6.475,6.3675,6.4625,1175200,6.4625
"2010-12-21",6.4825,6.5575,6.4825,6.5175,672800,6.5175
"2010-12-22",6.5175,6.5825,6.4625,6.52,2224000,6.52
"2010-12-23",6.515,6.6075,6.4775,6.5125,1004400,6.5125
"2010-12-27",6.5025,6.5375,6.4675,6.4975,287200,6.4975
"2010-12-28",6.52,6.52,6.385,6.46,457600,6.46
"2010-12-29",6.46,6.585,6.45,6.5775,590800,6.5775
"2010-12-30",6.585,6.6025,6.4275,6.43,540800,6.43
"2010-12-31",6.4325,6.4575,6.325,6.335,652800,6.335
"2011-01-03",6.39,6.63,6.375,6.605,956800,6.605
"2011-01-04",6.6275,6.6375,6.505,6.56,1209600,6.56
"2011-01-05",6.5375,6.5575,6.4725,6.525,1210000,6.525
"2011-01-06",6.675,7.3575,6.675,6.8825,5436000,6.8825
"2011-01-07",6.905,6.98,6.8275,6.935,1197200,6.935
"2011-01-10",6.93,7.0175,6.85,6.945,808000,6.945
"2011-01-11",6.955,7.01,6.9,6.94,740000,6.94
"2011-01-12",6.98,6.98,6.8575,6.8925,664800,6.8925
"2011-01-13",6.9,6.9975,6.8675,6.9775,1482400,6.9775
"2011-01-14",6.9625,7.345,6.9325,7.2875,5246000,7.2875
"2011-01-18",7.105,7.32,7.0075,7.285,1655600,7.285
"2011-01-19",7.25,7.265,6.7375,6.7425,3054000,6.7425
"2011-01-20",6.6975,6.78,6.4425,6.45,2343600,6.45
"2011-01-21",6.4775,6.5875,6.3525,6.37,2420800,6.37
"2011-01-24",6.38,6.49,6.27,6.41,1297600,6.41
"2011-01-25",6.3725,6.67,6.3725,6.6625,1687600,6.6625
"2011-01-26",6.68,7.0375,6.6675,6.925,3098400,6.925
"2011-01-27",6.895,7.02,6.885,7.0025,1352800,7.0025
"2011-01-28",7,7.01,6.74,6.82,1541600,6.82
"2011-01-31",6.8575,6.9525,6.785,6.93,1360400,6.93
"2011-02-01",6.94,7.135,6.91,7.0725,1148400,7.0725
"2011-02-02",7.0325,7.08,6.935,6.9525,2131200,6.9525
"2011-02-03",7.0075,7.11,6.925,7.045,2611200,7.045
"2011-02-04",7.0925,7.175,6.9575,6.985,1392400,6.985
"2011-02-07",7.0075,7.045,6.9225,6.9375,2113600,6.9375
"2011-02-08",7.04,7.5275,6.9075,7.3025,4860000,7.3025
"2011-02-09",7.255,7.49,7.255,7.39,3535200,7.39
"2011-02-10",7.31,7.385,7.295,7.3425,1619600,7.3425
"2011-02-11",7.305,7.445,7.255,7.3925,2034400,7.3925
"2011-02-14",7.3625,7.465,7.335,7.43,1276400,7.43
"2011-02-15",7.415,7.4925,7.3725,7.38,1198400,7.38
"2011-02-16",7.4225,7.5,7.36,7.4825,782400,7.4825
"2011-02-17",7.48,7.545,7.4325,7.47,1452400,7.47
"2011-02-18",7.51,7.675,7.445,7.5925,1661200,7.5925
"2011-02-22",7.515,7.5725,7.3525,7.39,1100400,7.39
"2011-02-23",7.37,7.37,7.0875,7.1025,1151600,7.1025
"2011-02-24",7.135,7.4175,7.0075,7.325,2441200,7.325
"2011-02-25",7.3425,7.555,7.34,7.55,1663600,7.55
"2011-02-28",7.5625,7.6225,7.5375,7.6175,1429600,7.6175
"2011-03-01",7.6175,7.6175,7.3125,7.37,2062800,7.37
"2011-03-02",7.3575,7.5675,7.3575,7.4975,1224800,7.4975
"2011-03-03",7.58,7.7675,7.5125,7.7025,1223200,7.7025
"2011-03-04",7.68,7.725,7.555,7.665,858800,7.665
"2011-03-07",7.5375,7.6725,7.45,7.665,1755200,7.665
"2011-03-08",7.655,7.8625,7.635,7.8075,1342000,7.8075
"2011-03-09",7.7675,7.95,7.7675,7.895,1366400,7.895
"2011-03-10",7.79,7.8325,7.7,7.75,1696800,7.75
"2011-03-11",7.7575,7.765,7.6075,7.7025,1198800,7.7025
"2011-03-14",7.63,7.7425,7.51,7.5125,1480000,7.5125
"2011-03-15",7.2475,7.5075,7.2075,7.4275,1045600,7.4275
"2011-03-16",7.385,7.47,7.255,7.2625,1459200,7.2625
"2011-03-17",7.375,7.4325,7.285,7.3225,968400,7.3225
"2011-03-18",7.4,7.4875,7.3575,7.3825,1711200,7.3825
"2011-03-21",7.4825,7.59,7.4825,7.5725,788800,7.5725
"2011-03-22",7.6125,7.6375,7.475,7.515,896400,7.515
"2011-03-23",7.485,7.5075,7.385,7.5,724000,7.5
"2011-03-24",7.55,7.7425,7.5,7.715,807600,7.715
"2011-03-25",7.76,7.8675,7.715,7.7625,572000,7.7625
"2011-03-28",7.8,7.905,7.75,7.8675,1361600,7.8675
"2011-03-29",7.845,8.07,7.845,8.0575,1233200,8.0575
"2011-03-30",8.08,8.1925,8.06,8.18,1228400,8.18
"2011-03-31",8.1675,8.2475,8.105,8.245,1197600,8.245
"2011-04-01",8.2825,8.4425,8.255,8.375,1201600,8.375
"2011-04-04",8.395,8.5175,8.395,8.4925,943200,8.4925
"2011-04-05",8.4575,8.47,8.345,8.3575,1358800,8.3575
"2011-04-06",8.3825,8.4,8.235,8.235,1160800,8.235
"2011-04-07",8.25,8.33,8.165,8.17,1402400,8.17
"2011-04-08",8.24,8.275,7.93,8.0275,1511200,8.0275
"2011-04-11",8.035,8.09,7.9675,8.0375,850000,8.0375
"2011-04-12",8.025,8.1175,7.9625,8.005,1065200,8.005
"2011-04-13",8.0625,8.1025,7.97,8.0725,990000,8.0725
"2011-04-14",7.995,8.0875,7.965,8.0725,644800,8.0725
"2011-04-15",8.0425,8.21,8.0075,8.165,698000,8.165
"2011-04-18",8.05,8.05,7.835,7.865,780000,7.865
"2011-04-19",7.895,8.02,7.8375,7.98,823600,7.98
"2011-04-20",8.1175,8.17,7.9,8.035,1360000,8.035
"2011-04-21",8.1525,8.3325,8.1325,8.235,656400,8.235
"2011-04-25",8.2075,8.225,8.02,8.0375,1419600,8.0375
"2011-04-26",8.0925,8.87,8.0925,8.545,3545600,8.545
"2011-04-27",8.65,8.985,8.5025,8.915,2232000,8.915
"2011-04-28",8.8125,9.0025,8.8075,8.95,1313600,8.95
"2011-04-29",8.93,9.1,8.84,9.0575,1468000,9.0575
"2011-05-02",9.12,9.215,9.0925,9.1,1662800,9.1
"2011-05-03",9.0875,9.0875,8.84,8.875,1008000,8.875
"2011-05-04",8.8725,8.925,8.64,8.64,2102000,8.64
"2011-05-05",8.595,8.695,8.51,8.555,2716400,8.555
"2011-05-06",8.6975,8.855,8.6525,8.695,1847200,8.695
"2011-05-09",8.75,9.01,8.695,8.825,2154000,8.825
"2011-05-10",8.875,8.9225,8.7975,8.8875,2078400,8.8875
"2011-05-11",8.88,9.8125,8.83,9.3075,10004000,9.3075
"2011-05-12",9.295,9.295,8.6225,8.6375,4149200,8.6375
"2011-05-13",8.6775,8.8,8.6075,8.7225,1818400,8.7225
"2011-05-16",8.6425,8.8325,8.54,8.6225,1811200,8.6225
"2011-05-17",8.53,8.635,8.5,8.5775,2407600,8.5775
"2011-05-18",8.5725,8.7675,8.5475,8.7525,1650800,8.7525
"2011-05-19",8.8075,9.0125,8.7925,8.9525,1716800,8.9525
"2011-05-20",8.91,8.91,8.6775,8.81,1948800,8.81
"2011-05-23",8.67,8.67,8.485,8.5525,1224800,8.5525
"2011-05-24",8.5525,8.605,8.4075,8.5525,1954000,8.5525
"2011-05-25",8.495,8.625,8.45,8.5275,1745600,8.5275
"2011-05-26",8.5,8.69,8.5,8.675,1240800,8.675
"2011-05-27",8.735,8.7475,8.64,8.6675,1823200,8.6675
"2011-05-31",8.78,8.8275,8.66,8.7,2255600,8.7
"2011-06-01",8.6925,8.7325,8.475,8.5375,3285600,8.5375
"2011-06-02",8.535,8.78,8.495,8.735,1630400,8.735
"2011-06-03",8.59,8.745,8.565,8.6,2258800,8.6
"2011-06-06",8.575,8.575,8.395,8.4125,1808000,8.4125
"2011-06-07",8.46,8.5225,8.3725,8.47,2816800,8.47
"2011-06-08",8.4175,8.5225,8.34,8.45,2361200,8.45
"2011-06-09",8.4675,8.58,8.39,8.41,2126800,8.41
"2011-06-10",8.3725,8.3725,8.0375,8.245,3186800,8.245
"2011-06-13",8.345,8.3875,8.2625,8.29,1935200,8.29
"2011-06-14",8.38,8.55,8.345,8.4875,1973600,8.4875
"2011-06-15",8.425,8.535,8.3275,8.3275,2393600,8.3275
"2011-06-16",8.355,8.425,8.1975,8.3175,1904400,8.3175
"2011-06-17",8.3825,8.4625,8.1325,8.16,1835600,8.16
"2011-06-20",8.1275,8.4825,8.1275,8.37,1193200,8.37
"2011-06-21",8.4425,8.6025,8.425,8.58,1916800,8.58
"2011-06-22",8.5425,8.675,8.4575,8.4675,1378000,8.4675
"2011-06-23",8.3725,8.6525,8.2625,8.5825,1651600,8.5825
"2011-06-24",8.585,8.615,8.43,8.4625,3145600,8.4625
"2011-06-27",8.4625,8.6425,8.38,8.6175,959200,8.6175
"2011-06-28",8.67,8.9375,8.6475,8.9175,1216800,8.9175
"2011-06-29",8.9425,8.9575,8.755,8.94,1271200,8.94
"2011-06-30",8.9625,8.9975,8.8625,8.8825,1123600,8.8825
"2011-07-01",8.9,9.0125,8.8525,8.9825,1294400,8.9825
"2011-07-05",9.01,9.1225,8.9175,9.1025,1177200,9.1025
"2011-07-06",9.0725,9.225,9,9.1875,1566800,9.1875
"2011-07-07",9.265,9.8375,9.1925,9.4675,7061200,9.4675
"2011-07-08",9.38,9.38,9.0725,9.25,2540800,9.25
"2011-07-11",9.105,9.1375,9,9.035,1137200,9.035
"2011-07-12",9.005,9.1825,8.98,9.095,1351600,9.095
"2011-07-13",9.1225,9.245,9.0575,9.0925,2032400,9.0925
"2011-07-14",9.1125,9.14,8.925,8.9475,1466000,8.9475
"2011-07-15",8.97,9.025,8.76,8.8175,3199200,8.8175
"2011-07-18",8.7775,8.8375,8.67,8.71,1098400,8.71
"2011-07-19",8.7825,8.85,8.6675,8.815,2186000,8.815
"2011-07-20",8.835,8.905,8.715,8.8475,530800,8.8475
"2011-07-21",8.905,9.0975,8.8975,9.0225,954800,9.0225
"2011-07-22",9.0175,9.0425,8.875,8.925,2096000,8.925
"2011-07-25",8.835,9.1825,8.55,8.5625,6509600,8.5625
"2011-07-26",9.015,9.3975,8.875,9.0825,5527600,9.0825
"2011-07-27",9.2475,9.2475,8.8275,8.8425,3416000,8.8425
"2011-07-28",8.8475,8.945,8.765,8.7875,2024800,8.7875
"2011-07-29",8.4025,8.585,7.6725,8.2025,8560400,8.2025
"2011-08-01",8.3175,8.57,7.7775,7.8975,5817600,7.8975
"2011-08-02",8.2375,8.2725,7.63,7.675,7759200,7.675
"2011-08-03",7.705,7.7975,7.3875,7.71,4556400,7.71
"2011-08-04",7.5925,7.725,7.415,7.4175,4513600,7.4175
"2011-08-05",7.485,7.5425,7.1275,7.225,2976000,7.225
"2011-08-08",6.995,7.1575,6.56,6.58,4872400,6.58
"2011-08-09",6.7125,7.005,6.41,7.0025,4355200,7.0025
"2011-08-10",6.805,6.9925,6.6725,6.71,3978400,6.71
