"dates","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2014-12-03",49.206776,49.52763,48.99287,49.376114,4642275,39.454311
"2014-12-04",49.278076,49.286987,48.716579,49.180035,4743143,39.29763
"2014-12-05",49.518719,50.81105,49.500893,50.222816,9336274,40.130871
"2014-12-08",50.222816,50.623886,49.919785,50.231728,5475248,40.137989
"2014-12-09",49.705883,50.160427,49.153297,50.098038,5296850,40.031166
"2014-12-10",50.178253,50.178253,48.966133,48.983955,8300332,39.140957
"2014-12-11",49.18895,49.857399,49.090908,49.206776,8397497,39.318996
"2014-12-12",48.368984,48.698753,47.049911,47.076649,10461528,37.616909
"2014-12-15",47.522282,47.557934,45.828876,46.060604,9934637,36.805019
"2014-12-16",45.677361,46.390373,45.124779,45.142601,11720412,36.071484
"2014-12-17",45.463459,46.319073,45.383244,46.158646,9769142,36.883369
"2014-12-18",46.809269,48.155079,46.782532,48.155079,11292032,38.47863
"2014-12-19",47.691624,48.31551,47.42424,47.967915,13345741,38.329075
"2014-12-22",48.110516,48.181816,47.691624,48.163994,5580491,38.485767
"2014-12-23",48.404636,49.420677,48.333332,49.028519,7185961,39.176556
"2014-12-24",49.224598,49.322639,48.743317,48.894833,2708845,39.069736
"2014-12-26",49.05526,49.295898,48.877007,48.903744,2508231,39.076859
"2014-12-29",48.698753,49.438503,48.680927,48.92157,3210266,39.091103
"2014-12-30",48.663101,49.242424,48.538322,48.930481,3104462,39.098225
"2014-12-31",49.180035,49.206776,48.190731,48.208557,3547315,38.521358
"2015-01-02",48.556149,48.805702,47.798573,48.048126,4388927,38.393177
"2015-01-05",47.611408,47.798573,46.238857,46.443851,7315664,37.111267
"2015-01-06",46.524063,46.568626,44.812836,45.035652,13546916,35.986027
"2015-01-07",45.570412,45.926914,45.178253,45.632797,8782006,36.463184
"2015-01-08",45.864529,46.577541,45.802139,46.327988,9064301,37.018681
"2015-01-09",46.310162,46.452763,45.329769,45.47237,8672499,36.334991
"2015-01-12",45.570412,45.632797,44.581104,44.946526,8270823,35.91481
"2015-01-13",45.303028,45.659538,43.885918,44.39394,15046693,35.47327
"2015-01-14",43.680927,44.064171,42.852051,43.618538,12537228,34.853672
"2015-01-15",43.832443,44.05526,42.495544,42.762924,11654663,34.169998
"2015-01-16",42.754009,43.680927,42.655972,43.663101,7905051,34.889294
"2015-01-20",43.85918,43.966133,42.976826,43.440285,7734844,34.711246
"2015-01-21",43.101604,43.939396,42.718361,43.912655,11265217,35.088696
"2015-01-22",44.295898,44.79501,43.725491,44.750446,10110342,35.758133
"2015-01-23",44.652405,44.910873,43.431374,43.467022,10935236,34.732616
"2015-01-26",43.591801,43.663101,43.324421,43.484848,10218278,34.746845
"2015-01-27",42.896614,43.244205,42.584671,42.896614,11805235,34.276829
"2015-01-28",43.333332,43.333332,41.729053,41.74688,12233166,33.358116
"2015-01-29",41.818184,42.228165,41.274509,41.773621,16734854,33.379482
"2015-01-30",41.354725,42.245991,41.087345,41.443851,14651525,33.115978
"2015-02-02",41.631016,42.754009,41.515152,42.655972,9669733,34.084545
"2015-02-03",42.896614,43.868092,42.887699,43.770054,14535398,34.974754
"2015-02-04",43.38681,43.894833,43.270947,43.467022,12151933,34.981918
"2015-02-05",43.101604,43.903744,42.771835,43.65419,10393086,35.132545
"2015-02-06",44.447414,44.777184,44.18895,44.206776,14096247,35.577267
"2015-02-09",43.805702,44.385029,43.636364,44.162209,8719623,35.541401
"2015-02-10",44.679146,44.86631,44.153297,44.590019,11018264,35.885696
"2015-02-11",44.563278,45.044563,44.322639,44.928699,8431045,36.15826
"2015-02-12",45.13369,45.516933,44.269161,44.857399,7707579,36.100887
"2015-02-13",44.901962,45.418896,44.741531,45.329769,8866493,36.481041
"2015-02-17",45.303028,46.105167,45.276291,46.069519,7865444,37.076393
"2015-02-18",45.81105,45.94474,45.089127,45.178253,7048516,36.359108
"2015-02-19",45.026737,45.614971,44.937611,45.543671,5121481,36.653198
"2015-02-20",45.285206,46.00713,44.786095,45.980392,6548441,37.004669
"2015-02-23",45.864529,45.935829,45.142601,45.329769,4763114,36.481041
"2015-02-24",45.356506,45.989304,45.249554,45.802139,6076303,36.861214
