"dates","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"2011-04-19",79.970001,80.919998,79.860001,80.910004,1243800,74.363106
"2011-04-20",81.690002,82.43,81.419998,81.949997,1378000,75.318947
"2011-04-21",82.300003,82.989998,81.790001,82.480003,1007100,75.806053
"2011-04-25",82.290001,83.220001,82.040001,83.080002,976300,76.357491
"2011-04-26",83.419998,83.540001,82.690002,83.449997,1900000,76.697563
"2011-04-27",83.75,84.279999,83.690002,84.209999,1873800,77.396065
"2011-04-28",84.010002,84.68,82.650002,83,2153200,76.283989
"2011-04-29",83.07,83.230003,82.610001,83.010002,1700000,76.293167
"2011-05-02",83.010002,83.419998,82.720001,83.099998,2256000,76.37587
"2011-05-03",83.190002,83.82,82.599998,83.129997,2153300,76.403458
"2011-05-04",80.93,82.970001,80.75,82.919998,3881400,76.210457
"2011-05-05",82.540001,83.5,82.269997,82.839996,1733800,76.136902
"2011-05-06",83.25,84.400002,82.5,82.739998,2140200,76.044998
"2011-05-09",82.779999,84.989998,82.760002,84.739998,1815000,77.883179
"2011-05-10",84.93,85.82,84.510002,85.480003,1924900,78.563309
"2011-05-11",85.480003,85.970001,84.370003,84.900002,1615300,78.03022
"2011-05-12",84.739998,85.080002,84.019997,85.019997,1500000,78.140503
"2011-05-13",85.019997,85.089996,83.760002,84.239998,1667900,77.42366
"2011-05-16",84.010002,85.370003,84.010002,85.089996,1996900,78.204865
"2011-05-17",84.830002,84.849998,84.360001,84.779999,1930100,77.919937
"2011-05-18",84.809998,87.099998,84.610001,86.879997,2365400,79.850014
"2011-05-19",87,87.32,86.110001,86.639999,1645600,79.629433
"2011-05-20",86.690002,86.720001,84.989998,85.07,2574700,78.186493
"2011-05-23",83.879997,84.449997,83.290001,84.169998,2132100,77.359299
"2011-05-24",84.139999,84.230003,83.040001,83.510002,1713500,76.752708
"2011-05-25",83.360001,84.5,83.360001,84.199997,2006500,77.386887
"2011-05-26",83.769997,85,83.099998,84.870003,2308900,78.00264
"2011-05-27",84.860001,85.07,84.519997,85.040001,1455300,78.15889
"2011-05-31",85.910004,85.970001,85.110001,85.610001,1765100,78.682785
"2011-06-01",85.639999,85.889999,85.080002,85.18,2068400,78.287582
"2011-06-02",85,85.139999,84.330002,84.760002,1654900,77.901558
"2011-06-03",84.010002,84.459999,83.610001,84.279999,1637900,77.460442
"2011-06-06",84,84.709999,83.849998,84.480003,2146700,77.644218
"2011-06-07",84.809998,85.099998,84.32,84.349998,1188600,77.524742
"2011-06-08",84.089996,84.339996,83.610001,84.230003,3105300,77.598465
"2011-06-09",84.389999,85.589996,84.169998,84.93,1350100,78.243332
"2011-06-10",84.639999,84.639999,82.879997,83.25,2017900,76.695602
"2011-06-13",83.419998,83.879997,83.330002,83.480003,1565100,76.907478
"2011-06-14",84.349998,84.839996,84.139999,84.5,1365100,77.847191
"2011-06-15",83.849998,84.510002,83.139999,83.330002,2783500,76.769295
"2011-06-16",83.220001,83.32,82.239998,82.489998,2177700,75.995422
"2011-06-17",82.949997,83.330002,81.809998,82.410004,2843000,75.921753
"2011-06-20",82.349998,83.199997,82.290001,83.019997,1371000,76.483696
"2011-06-21",83.540001,84.010002,83.5,83.809998,2262600,77.21151
"2011-06-22",83.519997,83.900002,83.050003,83.110001,1304900,76.566605
"2011-06-23",82.620003,82.629997,81.339996,82.040001,3629500,75.580879
"2011-06-24",81.949997,82.07,81.25,81.550003,3370400,75.129425
"2011-06-27",81.330002,82.459999,80.970001,81.980003,2202100,75.525551
"2011-06-28",82.449997,83.379997,82.309998,83.379997,3421100,76.815346
"2011-06-29",83.470001,83.540001,82.610001,82.900002,1503400,76.373146
"2011-06-30",83.190002,83.800003,83.129997,83.650002,1597700,77.064102
"2011-07-01",83.790001,84.400002,83.610001,84.080002,1838400,77.460289
"2011-07-05",84.120003,84.400002,83.519997,84,1620300,77.386543
"2011-07-06",83.970001,84.669998,83.699997,84.32,1769600,77.681343
"2011-07-07",84.870003,84.959999,84.190002,84.870003,1372200,78.188026
"2011-07-08",84.279999,84.589996,84.099998,84.540001,1305100,77.884048
"2011-07-11",83.75,83.860001,83.110001,83.400002,1739500,76.833786
