"dates","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2015-03-25",99.541313,99.541313,97.167419,97.176956,2589552,85.692284
"2015-03-26",96.652603,97.825249,96.175919,97.405762,2913141,85.894043
"2015-03-27",97.348564,98.244728,97.253227,98.158928,3345397,86.558182
"2015-03-30",98.873955,100.199135,98.750015,100.017998,2712065,88.197563
"2015-03-31",99.388771,99.932198,98.950226,99.445976,2885555,87.69313
"2015-04-01",99.198097,99.245766,97.834778,98.425873,2779300,86.793594
"2015-04-02",98.549805,99.159966,98.015923,98.683281,2136213,87.020584
"2015-04-06",98.025452,100.161003,97.949188,99.617584,2305507,87.844475
"2015-04-07",99.493645,99.960793,99.274368,99.274368,1918459,87.541809
"2015-04-08",99.1409,99.855927,98.664215,99.007423,2187609,87.306404
"2015-04-09",99.01696,99.751053,98.626076,99.522247,2052090,87.760399
"2015-04-10",99.884521,100.008461,99.121826,99.817787,2209951,88.021004
"2015-04-13",99.445976,99.770119,98.464005,98.464005,2938944,86.827202
"2015-04-14",98.168457,98.721413,97.701309,98.435402,2293864,86.801987
"2015-04-15",98.912086,99.379242,98.664215,98.950226,2331520,87.255989
"2015-04-16",98.416336,99.3125,98.244728,99.074158,3524656,87.365273
"2015-04-17",98.206596,98.52121,96.156853,96.95768,7044802,85.498909
"2015-04-20",97.386696,98.044525,97.329498,97.796646,3193200,86.238724
"2015-04-21",97.90152,98.168457,96.309387,96.604935,3313091,85.187851
"2015-04-22",96.509598,97.57737,96.309387,97.424835,3492245,85.910873
"2015-04-23",97.224625,98.616547,96.976746,98.206596,3388508,86.600227
"2015-04-24",98.168457,98.244728,97.586906,97.720375,2832060,86.171455
"2015-04-27",98.082657,98.454468,97.625038,97.758514,1957268,86.205093
"2015-04-28",98.149391,98.502136,97.186485,98.130325,2208902,86.532982
"2015-04-29",97.482033,98.044525,96.805145,96.995811,2848738,85.532547
"2015-04-30",96.824211,97.205559,95.994774,96.21405,3281833,84.843185
"2015-05-01",96.824211,97.739441,96.690735,97.720375,2201979,86.171455
"2015-05-04",97.701309,98.52121,97.558304,97.796646,2499346,86.238724
"2015-05-05",97.739441,98.082657,96.557266,96.805145,2322185,85.364418
"2015-05-06",97.386696,97.482033,95.6325,96.280785,4022260,84.902031
"2015-05-07",95.956642,96.442863,95.479958,96.299858,4706570,84.918823
"2015-05-08",97.45343,97.691772,97.176956,97.358093,4148654,85.851997
"2015-05-11",98.177994,98.568878,97.77758,97.90152,3546264,86.3312
"2015-05-12",97.129288,97.672707,96.719337,97.539238,2602978,86.011742
"2015-05-13",98.292397,100.323074,98.225662,99.569916,4837579,87.802422
"2015-05-14",99.970329,101.610123,99.627113,101.476654,5188335,89.483826
"2015-05-15",101.69593,101.934273,101.133438,101.867531,5735656,89.828499
"2015-05-18",101.676857,102.105873,101.619659,101.791267,3187117,89.761261
"2015-05-19",101.448051,101.657791,100.704422,100.87603,2624481,89.387848
"2015-05-20",100.980904,101.610123,100.675819,101.276443,3542068,89.742645
"2015-05-21",101.324112,101.819862,101.133438,101.400383,2789789,89.852478
"2015-05-22",101.314575,101.533852,100.904633,100.980904,1529313,89.480782
"2015-05-26",100.590019,100.742561,99.598511,99.951263,2288934,88.568413
"2015-05-27",100.246803,100.656754,99.894058,100.46608,2194008,89.024574
"2015-05-28",100.437477,100.837898,99.932198,100.761627,2524939,89.286484
"2015-05-29",100.542351,100.628151,99.150429,99.341103,2492003,88.02771
"2015-06-01",99.369705,99.827324,98.69281,99.207634,2257047,87.909454
"2015-06-02",99.121826,100.227737,98.349602,99.684319,2049992,88.331848
"2015-06-03",100.103798,100.475616,99.43644,100.084732,1590989,88.686653
"2015-06-04",99.43644,99.970329,98.60701,98.883484,2590391,87.622223
"2015-06-05",98.845352,99.207634,98.549805,98.902557,1671860,87.639107
"2015-06-08",98.931152,99.074158,98.435402,98.444939,1545046,87.23362
"2015-06-09",98.511673,99.1409,98.416336,98.730949,1598750,87.487038
"2015-06-10",99.43644,100.113335,98.826286,99.884521,2205965,88.509247
"2015-06-11",100.323074,100.323074,99.665253,100.008461,1711613,88.619072
"2015-06-12",99.569916,99.913124,98.854889,99.198097,1310824,87.901031
"2015-06-15",98.368668,98.826286,97.558304,98.616547,3009746,87.385681
"2015-06-16",98.368668,99.465042,98.282867,99.245766,1905033,87.943245
"2015-06-17",99.512711,99.817787,98.406799,99.341103,2799754,88.02771
"2015-06-18",99.445976,100.980904,99.445976,100.609085,2336660,89.151314
"2015-06-19",100.313538,100.952301,100.199135,100.427948,2918910,88.990807
"2015-06-22",100.96183,101.257378,99.674782,100.456551,2295962,89.016129
"2015-06-23",100.370743,100.437477,99.646179,99.874992,1897480,88.500801
"2015-06-24",99.865456,100.351677,99.245766,99.245766,2411342,87.943245
"2015-06-25",100.170532,100.170532,98.406799,98.540276,1520502,87.318108
"2015-06-26",98.893021,98.912086,98.368668,98.711884,2217923,87.470169
"2015-06-29",98.130325,98.340065,97.062553,97.100685,2243936,86.04245
"2015-06-30",97.882446,98.311462,96.83374,97.215088,2302885,86.143829
"2015-07-01",98.177994,98.654678,97.701309,98.044525,2277291,86.878799
"2015-07-02",98.330536,98.492607,97.424835,97.729912,1880803,86.600014
